RequestNum,ClientNum,QuestionNum,Latency_us,Throughput
500,50,5,2416.000000,16.701234
500,50,5,2538.000000,16.674431
500,50,5,2567.000000,16.682621
500,50,5,9019.000000,16.672153
500,50,5,5695.000000,16.704785
2000,200,5,2428.000000,66.586252
2000,200,5,3670.000000,66.365993
2000,200,5,4189.000000,66.307616
2000,200,5,4937.000000,66.424386
2000,200,5,4917.000000,66.525065
10000,1000,5,4489.000000,329.598150
10000,1000,5,10064.000000,328.903301
10000,1000,5,15610.000000,329.680679
10000,1000,5,3524.000000,319.533323
10000,1000,5,9122.000000,329.497634
500,50,20,2725.000000,16.669880
500,50,20,12436.000000,16.782496
500,50,20,8870.000000,16.650466
500,50,20,4561.000000,17.151198
500,50,20,4113.000000,16.983369
2000,200,20,2922.000000,66.597225
2000,200,20,5307.000000,66.336590
2000,200,20,2451.000000,66.362114
2000,200,20,2884.000000,66.516015
2000,200,20,4411.000000,66.441548
10000,1000,20,11834.000000,329.306764
10000,1000,20,9788.000000,330.023412
10000,1000,20,7927.000000,328.769518
10000,1000,20,12437.000000,329.945190
10000,1000,20,11378.000000,329.277851
500,50,100,11065.000000,16.724930
500,50,100,3259.000000,16.839925
500,50,100,3505.000000,16.712406
500,50,100,5794.000000,16.766637
500,50,100,3585.000000,16.691619
2000,200,100,3878.000000,66.593570
2000,200,100,7153.000000,66.660955
2000,200,100,4831.000000,66.490053
2000,200,100,7733.000000,66.423018
2000,200,100,2882.000000,66.284932
10000,1000,100,11732.000000,329.666018
10000,1000,100,5756.000000,330.207569
10000,1000,100,11574.000000,330.213384
10000,1000,100,19455.000000,329.562094
10000,1000,100,10594.000000,329.178324
