RequestNum,ClientNum,QuestionNum,Latency_us,Throughput
500,50,5,16971.000000,16.673813
500,50,5,25942.000000,16.694432
500,50,5,26724.000000,16.664748
500,50,5,8245.000000,16.885247
500,50,5,11879.000000,16.812765
500,50,5,8941.000000,16.755576
2000,200,5,17774.000000,66.383043
2000,200,5,17939.000000,66.247813
2000,200,5,18835.000000,66.283833
2000,200,5,17700.000000,66.400707
2000,200,5,15632.000000,66.490532
10000,1000,5,6776.000000,326.679483
10000,1000,5,7461.000000,327.975329
10000,1000,5,21965.000000,327.383337
10000,1000,5,10054.000000,326.909748
10000,1000,5,22096.000000,328.289753
500,50,20,9514.000000,16.905838
500,50,20,21076.000000,16.817818
500,50,20,16196.000000,16.829189
500,50,20,23465.000000,16.804084
500,50,20,31447.000000,16.741317
2000,200,20,16457.000000,66.150742
2000,200,20,16513.000000,66.257986
2000,200,20,18928.000000,66.248537
10000,1000,20,26226.000000,327.317916
10000,1000,20,22775.000000,327.309403
10000,1000,20,27904.000000,327.990285
10000,1000,20,12371.000000,327.576283
10000,1000,20,39851.000000,328.362252
500,50,100,22877.000000,16.630741
500,50,100,20505.000000,17.016857
500,50,100,16831.000000,16.631656
500,50,100,22970.000000,16.681275
500,50,100,31541.000000,16.804189
2000,200,100,33183.000000,66.445743
2000,200,100,20869.000000,66.407683
2000,200,100,23932.000000,66.176351
2000,200,100,15972.000000,66.266191
2000,200,100,23461.000000,66.155365
10000,1000,100,10628.000000,326.668648
10000,1000,100,9093.000000,327.526326
10000,1000,100,40425.000000,327.928642
10000,1000,100,19843.000000,327.546370
10000,1000,100,7740.000000,327.123399
