RequestNum,ClientNum,QuestionNum,Latency_us,Throughput
500,50,5,69726.000000,16.664625
500,50,5,63069.000000,16.685862
500,50,5,83148.000000,16.880880
500,50,5,80994.000000,16.838908
500,50,5,71028.000000,16.759963
2000,200,5,146263.000000,66.685155
2000,200,5,134955.000000,66.504202
2000,200,5,128230.000000,66.754648
2000,200,5,135953.000000,66.489266
2000,200,5,144344.000000,66.434465
10000,1000,5,429765.000000,330.626533
10000,1000,5,373986.000000,330.405259
10000,1000,5,338736.000000,330.641814
10000,1000,5,354272.000000,330.446156
10000,1000,5,385633.000000,329.661657
500,50,20,69443.000000,16.860812
500,50,20,76312.000000,16.693290
500,50,20,77315.000000,16.777010
500,50,20,70153.000000,16.712534
500,50,20,71925.000000,16.676998
2000,200,20,137805.000000,66.731424
2000,200,20,158301.000000,66.706962
2000,200,20,150040.000000,66.533406
2000,200,20,172537.000000,66.355395
2000,200,20,167885.000000,66.520654
10000,1000,20,423651.000000,329.582801
10000,1000,20,395544.000000,330.891863
10000,1000,20,581892.000000,330.415180
10000,1000,20,404213.000000,329.599222
10000,1000,20,358357.000000,330.911087
500,50,100,91934.000000,16.663364
500,50,100,90041.000000,16.758977
500,50,100,72487.000000,16.787582
500,50,100,75680.000000,16.740680
500,50,100,88943.000000,16.802612
2000,200,100,204947.000000,66.509075
2000,200,100,190420.000000,66.443508
2000,200,100,168365.000000,66.469031
2000,200,100,174646.000000,66.488995
2000,200,100,197136.000000,66.825668
10000,1000,100,845930.000000,330.506203
10000,1000,100,1235721.000000,330.309226
10000,1000,100,1241726.000000,330.400836
10000,1000,100,889681.000000,330.460218
10000,1000,100,772234.000000,329.964310
