ValueSize,PublisherNum,SubscribersNum,QoS,Latency_ms
128,100,7,0,14
128,100,7,0,17
128,100,7,0,24
128,100,7,0,14
128,100,7,0,16
128,150,7,0,37
128,150,7,0,21
128,150,7,0,8
128,150,7,0,12
128,150,7,0,9
128,200,7,0,17
128,200,7,0,13
128,200,7,0,87
128,200,7,0,9
128,200,7,0,20
128,250,7,0,19
128,250,7,0,9
128,250,7,0,10
128,250,7,0,24
128,250,7,0,20
128,300,7,0,25
128,300,7,0,8
128,300,7,0,16
128,300,7,0,7
128,300,7,0,8
128,350,7,0,32
128,350,7,0,15
128,350,7,0,20
128,350,7,0,24
128,350,7,0,8
128,400,7,0,14
128,400,7,0,8
128,400,7,0,11
128,400,7,0,16
128,400,7,0,8
128,450,7,0,10
128,450,7,0,12
128,450,7,0,14
128,450,7,0,11
128,450,7,0,4
128,500,7,0,4
128,500,7,0,34
128,500,7,0,8
128,500,7,0,41
128,500,7,0,28
128,550,7,0,13
128,550,7,0,5
128,550,7,0,12
128,550,7,0,33
128,550,7,0,4
128,600,7,0,19
128,600,7,0,9
128,600,7,0,9
128,600,7,0,6
128,600,7,0,17
128,650,7,0,37
128,650,7,0,12
128,650,7,0,23
128,650,7,0,16
128,700,7,0,20
128,700,7,0,19
128,700,7,0,7
128,700,7,0,4
128,700,7,0,15
128,750,7,0,6
128,750,7,0,10
128,750,7,0,11
128,750,7,0,53
128,750,7,0,7
128,800,7,0,18
128,800,7,0,7
128,800,7,0,22
128,800,7,0,16
128,850,7,0,9
128,850,7,0,11
128,850,7,0,10
128,850,7,0,4
128,900,7,0,19
128,900,7,0,6
128,900,7,0,14
128,900,7,0,5
128,950,7,0,17
128,950,7,0,23
128,950,7,0,36
128,950,7,0,5
128,1000,7,0,7
128,1000,7,0,25
128,1000,7,0,61
128,1000,7,0,15
128,100,7,1,4
128,100,7,1,4
128,100,7,1,4
128,100,7,1,5
128,100,7,1,6
128,150,7,1,5
128,150,7,1,6
128,150,7,1,6
128,150,7,1,5
128,150,7,1,6
128,200,7,1,6
128,200,7,1,7
128,200,7,1,6
128,200,7,1,5
128,200,7,1,7
128,250,7,1,4
128,250,7,1,6
128,250,7,1,8
128,250,7,1,11
128,250,7,1,8
128,300,7,1,5
128,300,7,1,7
128,300,7,1,7
128,300,7,1,8
128,350,7,1,6
128,350,7,1,8
128,350,7,1,9
128,400,7,1,12
128,400,7,1,11
128,400,7,1,9
