ValueSize,PublisherNum,SubscribersNum,QoS,Latency_us
128,500,7,0,1990
1024,500,7,0,2012
10240,500,7,0,2523
128,500,7,1,2030
1024,500,7,1,1992
10240,500,7,1,2601
128,500,7,2,1972
1024,500,7,2,1961
10240,500,7,2,2307
128,500,7,0,1891
1024,500,7,0,1970
10240,500,7,0,2413
128,500,7,1,1987
1024,500,7,1,1993
10240,500,7,1,2560
128,500,7,2,1929
1024,500,7,2,1949
10240,500,7,2,2448
128,500,7,0,1932
1024,500,7,0,1931
10240,500,7,0,2387
128,500,7,1,2038
1024,500,7,1,2093
10240,500,7,1,2482
128,500,7,2,1933
1024,500,7,2,1987
10240,500,7,2,2217
128,500,7,0,2047
1024,500,7,0,2121
10240,500,7,0,2526
128,500,7,1,2146
1024,500,7,1,2077
10240,500,7,1,2391
128,500,7,2,1880
1024,500,7,2,1828
10240,500,7,2,2222
128,500,7,0,2124
1024,500,7,0,1898
10240,500,7,0,2430
128,500,7,1,2067
1024,500,7,1,2208
10240,500,7,1,2574
128,500,7,2,1954
1024,500,7,2,1875
10240,500,7,2,2461
