RequestNum,PublisherNum,SubscribersNum,ValueSize,QoS,Throughput
10000,100,7,128,0,28888.521112
10000,100,7,128,0,29870.371816
10000,100,7,128,0,31993.263806
10000,100,7,128,0,34668.544602
10000,100,7,128,0,30740.071022
10000,150,7,128,0,29190.669936
10000,150,7,128,0,31601.020382
10000,150,7,128,0,29084.430391
10000,150,7,128,0,25821.919709
10000,150,7,128,0,29208.737179
10000,200,7,128,0,27786.468227
10000,200,7,128,0,25860.923260
10000,200,7,128,0,29229.203571
10000,200,7,128,0,26412.192656
10000,200,7,128,0,31978.267160
10000,250,7,128,0,30281.328501
10000,250,7,128,0,27507.702948
10000,250,7,128,0,25140.472579
10000,250,7,128,0,31843.554907
10000,250,7,128,0,33370.603848
10000,300,7,128,0,28728.486551
10000,300,7,128,0,27660.407064
10000,300,7,128,0,26947.730490
10000,300,7,128,0,25559.738398
10000,300,7,128,0,30272.725378
10000,350,7,128,0,31449.621262
10000,350,7,128,0,30551.942440
10000,350,7,128,0,26487.802658
10000,350,7,128,0,31925.952937
10000,350,7,128,0,28905.941255
10000,400,7,128,0,32749.462060
10000,400,7,128,0,30899.773566
10000,400,7,128,0,34416.521888
10000,400,7,128,0,25719.748714
10000,400,7,128,0,33454.130288
10000,450,7,128,0,26800.223400
10000,450,7,128,0,29718.786606
10000,450,7,128,0,35495.127515
10000,450,7,128,0,35644.222666
10000,450,7,128,0,33081.783094
10000,500,7,128,0,24737.208471
10000,500,7,128,0,27133.220807
10000,500,7,128,0,27086.122064
10000,500,7,128,0,37429.291997
10000,500,7,128,0,34344.497267
10000,550,7,128,0,28511.228335
10000,550,7,128,0,34430.404816
10000,550,7,128,0,27137.259087
10000,550,7,128,0,36283.213104
10000,550,7,128,0,29404.468679
10000,600,7,128,0,34450.604327
10000,600,7,128,0,28401.982748
10000,600,7,128,0,27182.989724
10000,600,7,128,0,32543.289442
10000,600,7,128,0,32405.926067
10000,650,7,128,0,34627.969698
10000,650,7,128,0,40819.394483
10000,650,7,128,0,34938.100988
10000,650,7,128,0,23363.470544
10000,650,7,128,0,23623.730760
10000,700,7,128,0,28362.325544
10000,700,7,128,0,33300.701865
10000,700,7,128,0,29265.153089
10000,700,7,128,0,30608.245244
10000,700,7,128,0,30159.607205
10000,750,7,128,0,27516.023502
10000,750,7,128,0,31118.523267
10000,750,7,128,0,35608.372933
10000,750,7,128,0,29993.430569
10000,750,7,128,0,31415.390446
10000,800,7,128,0,31643.815091
10000,800,7,128,0,34136.044817
10000,800,7,128,0,38075.872199
10000,800,7,128,0,31615.822533
10000,800,7,128,0,38033.209480
10000,850,7,128,0,33291.698292
10000,850,7,128,0,31191.469111
10000,850,7,128,0,32633.973360
10000,850,7,128,0,27630.699717
10000,850,7,128,0,23426.573407
10000,900,7,128,0,33827.077300
