ValueSize,PublisherNum,SubscribersNum,QoS,Latency_us
128,500,7,0,2255
1024,500,7,0,2344
10240,500,7,0,2896
128,500,7,1,2295
1024,500,7,1,2290
10240,500,7,1,2898
128,500,7,2,2279
1024,500,7,2,2372
10240,500,7,2,2838
128,500,7,0,2329
1024,500,7,0,2327
10240,500,7,0,2817
128,500,7,1,2364
1024,500,7,1,2338
10240,500,7,1,2776
128,500,7,2,2320
1024,500,7,2,2448
10240,500,7,2,2826
128,500,7,0,2261
1024,500,7,0,2324
10240,500,7,0,2901
128,500,7,1,2315
1024,500,7,1,2414
10240,500,7,1,2824
128,500,7,2,2329
1024,500,7,2,2386
10240,500,7,2,2896
128,500,7,0,2331
1024,500,7,0,2285
10240,500,7,0,2976
128,500,7,1,2398
1024,500,7,1,2373
10240,500,7,1,2922
128,500,7,2,2253
1024,500,7,2,2326
10240,500,7,2,2953
128,500,7,0,2337
1024,500,7,0,2310
10240,500,7,0,2982
128,500,7,1,2376
1024,500,7,1,2357
10240,500,7,1,2947
128,500,7,2,2392
1024,500,7,2,2345
10240,500,7,2,2888
