ValueSize,PublisherNum,SubscribersNum,QoS,Latency_us
128,500,7,0,14856
1024,500,7,0,15199
10240,500,7,0,15929
128,500,7,1,14471
1024,500,7,1,14912
10240,500,7,1,15840
128,500,7,2,17769
1024,500,7,2,17921
10240,500,7,2,19156
128,500,7,0,14757
1024,500,7,0,15341
10240,500,7,0,16204
128,500,7,1,14744
1024,500,7,1,14678
10240,500,7,1,15501
128,500,7,2,17756
1024,500,7,2,18372
10240,500,7,2,18793
128,500,7,0,14863
1024,500,7,0,15047
10240,500,7,0,15995
128,500,7,1,14733
1024,500,7,1,14829
10240,500,7,1,15445
128,500,7,2,17260
1024,500,7,2,17838
10240,500,7,2,19294
128,500,7,0,14571
1024,500,7,0,14751
10240,500,7,0,16171
128,500,7,1,14655
1024,500,7,1,14998
10240,500,7,1,16021
128,500,7,2,17876
1024,500,7,2,18194
10240,500,7,2,19038
128,500,7,0,15293
1024,500,7,0,15230
10240,500,7,0,15931
128,500,7,1,15059
1024,500,7,1,15027
10240,500,7,1,16084
128,500,7,2,17758
1024,500,7,2,17982
10240,500,7,2,19364
