RequestNum,PublisherNum,SubscribersNum,ValueSize,QoS,Throughput
10000, 25, 7, 128, 0, 7813.034161
10000, 25, 7, 128, 0, 7752.681791
10000, 25, 7, 128, 0, 8185.062549
10000, 25, 7, 128, 0, 8040.119650
10000, 25, 7, 128, 0, 8080.332291
10000, 50, 7, 128, 0, 8631.638174
10000, 50, 7, 128, 0, 8916.062106
10000, 50, 7, 128, 0, 8594.610983
10000, 50, 7, 128, 0, 8800.285340
10000, 50, 7, 128, 0, 8832.697661
10000, 75, 7, 128, 0, 8858.302030
10000, 75, 7, 128, 0, 8621.638013
10000, 75, 7, 128, 0, 8568.669147
10000, 75, 7, 128, 0, 8930.692125
10000, 75, 7, 128, 0, 9328.427885
10000, 100, 7, 128, 0, 8695.165177
10000, 100, 7, 128, 0, 9000.428941
10000, 100, 7, 128, 0, 8755.259059
10000, 100, 7, 128, 0, 9261.791965
10000, 100, 7, 128, 0, 8591.802113
10000, 125, 7, 128, 0, 9241.685826
10000, 125, 7, 128, 0, 9000.877875
10000, 125, 7, 128, 0, 8441.659757
10000, 125, 7, 128, 0, 7726.982114
10000, 125, 7, 128, 0, 8285.413258
10000, 150, 7, 128, 0, 9056.353815
10000, 150, 7, 128, 0, 8991.678496
10000, 150, 7, 128, 0, 8619.211067
10000, 150, 7, 128, 0, 9461.064313
10000, 150, 7, 128, 0, 8807.953954
10000, 175, 7, 128, 0, 8830.639970
10000, 175, 7, 128, 0, 8004.934382
10000, 175, 7, 128, 0, 8503.488594
10000, 175, 7, 128, 0, 8842.076327
10000, 175, 7, 128, 0, 8294.770358
10000, 200, 7, 128, 0, 8267.081200
10000, 200, 7, 128, 0, 8338.429538
10000, 200, 7, 128, 0, 7721.637662
10000, 200, 7, 128, 0, 8165.489612
10000, 200, 7, 128, 0, 8331.808425
10000, 225, 7, 128, 0, 7781.109212
10000, 225, 7, 128, 0, 7790.500934
10000, 225, 7, 128, 0, 8168.343889
10000, 225, 7, 128, 0, 8118.215934
10000, 225, 7, 128, 0, 8491.526430
10000, 250, 7, 128, 0, 7761.308899
10000, 250, 7, 128, 0, 7221.964562
10000, 250, 7, 128, 0, 7443.170679
10000, 250, 7, 128, 0, 7631.895725
10000, 250, 7, 128, 0, 7479.144346
10000, 275, 7, 128, 0, 7366.338591
10000, 275, 7, 128, 0, 7766.940317
10000, 275, 7, 128, 0, 7845.158746
10000, 275, 7, 128, 0, 7514.855247
10000, 275, 7, 128, 0, 7894.122202
10000, 300, 7, 128, 0, 7281.498698
10000, 300, 7, 128, 0, 6996.097086
10000, 300, 7, 128, 0, 7250.812049
10000, 300, 7, 128, 0, 7230.965131
10000, 300, 7, 128, 0, 6940.231237
10000, 325, 7, 128, 0, 7205.470577
10000, 325, 7, 128, 0, 7174.947907
10000, 325, 7, 128, 0, 6724.076283
10000, 325, 7, 128, 0, 7213.279354
10000, 325, 7, 128, 0, 8014.700846
10000, 350, 7, 128, 0, 6564.314871
10000, 350, 7, 128, 0, 6455.296245
10000, 350, 7, 128, 0, 6758.409110
10000, 350, 7, 128, 0, 7488.256084
10000, 350, 7, 128, 0, 6431.517788
10000, 375, 7, 128, 0, 6387.560523
10000, 375, 7, 128, 0, 6020.426268
10000, 375, 7, 128, 0, 6691.133434
10000, 375, 7, 128, 0, 6925.454593
10000, 375, 7, 128, 0, 7172.846085
10000, 400, 7, 128, 0, 6314.247651
10000, 400, 7, 128, 0, 6270.395708
10000, 400, 7, 128, 0, 6585.840820
10000, 400, 7, 128, 0, 6615.939169
10000, 400, 7, 128, 0, 6456.139473
10000, 425, 7, 128, 0, 5767.337611
10000, 425, 7, 128, 0, 6200.372686
10000, 425, 7, 128, 0, 5834.207380
10000, 425, 7, 128, 0, 6714.978632
10000, 425, 7, 128, 0, 6935.570579
10000, 450, 7, 128, 0, 6036.883800
10000, 450, 7, 128, 0, 5955.178961
10000, 450, 7, 128, 0, 6057.383995
10000, 450, 7, 128, 0, 5822.454743
10000, 450, 7, 128, 0, 6081.760403
10000, 475, 7, 128, 0, 6373.588510
10000, 475, 7, 128, 0, 6038.438510
10000, 475, 7, 128, 0, 5873.986508
10000, 475, 7, 128, 0, 5704.956887
10000, 475, 7, 128, 0, 6113.146536
10000, 500, 7, 128, 0, 5588.171586
10000, 500, 7, 128, 0, 5968.328913
10000, 500, 7, 128, 0, 5771.037520
10000, 500, 7, 128, 0, 5636.538053
10000, 500, 7, 128, 0, 5459.646533
10000, 25, 7, 128, 1, 1039.946261
10000, 25, 7, 128, 1, 1027.074698
