ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
100, 23829.257953, 4.683831, 16, 0.05
100, 20026.093439, 5.081908, 16, 0.05
100, 23600.235238, 4.730222, 16, 0.05
100, 22514.849928, 5.088427, 16, 0.05
100, 22674.057179, 5.30105, 16, 0.05
200, 31517.390587, 8.520574, 16, 0.05
200, 26159.436381, 7.987149, 16, 0.05
200, 26134.973969, 10.556088, 16, 0.05
200, 27217.539209, 9.366536, 16, 0.05
200, 25973.171895, 8.354673, 16, 0.05
300, 25910.265790, 17.050938, 16, 0.05
300, 26622.656150, 13.93794, 16, 0.05
300, 28340.695070, 15.286908, 16, 0.05
300, 29125.980924, 16.237108, 16, 0.05
300, 34820.852771, 11.926361, 16, 0.05
400, 30452.449862, 25.40418, 16, 0.05
400, 29542.005067, 24.629066, 16, 0.05
400, 29224.980036, 19.870879, 16, 0.05
400, 29694.066017, 25.333297, 16, 0.05
400, 24181.965986, 35.128541, 16, 0.05
500, 35801.995745, 22.333999, 16, 0.05
500, 30599.733760, 33.127461, 16, 0.05
500, 29339.732212, 27.538776, 16, 0.05
500, 33660.987138, 21.171623, 16, 0.05
500, 33872.975563, 26.785374, 16, 0.05
600, 32432.024876, 25.500829, 16, 0.05
600, 30644.000995, 34.952139, 16, 0.05
600, 29801.844022, 32.49683, 16, 0.05
600, 32482.769101, 28.831244, 16, 0.05
600, 28367.817105, 36.159645, 16, 0.05
700, 27302.961679, 34.133719, 16, 0.05
700, 27372.558153, 40.876807, 16, 0.05
700, 25276.499693, 29.657051, 16, 0.05
700, 32839.759304, 34.065181, 16, 0.05
700, 29635.755494, 38.201449, 16, 0.05
800, 27472.106787, 44.227537, 16, 0.05
800, 31660.887879, 39.691206, 16, 0.05
800, 30191.384302, 36.157243, 16, 0.05
800, 30516.781958, 36.150811, 16, 0.05
800, 31913.699535, 41.438283, 16, 0.05
900, 35748.132940, 36.454963, 16, 0.05
900, 26923.042669, 78.621576, 16, 0.05
900, 30732.809081, 33.288127, 16, 0.05
900, 29131.695159, 42.449174, 16, 0.05
900, 23131.995215, 105.340052, 16, 0.05
1000, 24980.691549, 94.907672, 16, 0.05
1000, 10017.850427, 715.546749, 16, 0.05
1000, 30612.290410, 70.071568, 16, 0.05
1000, 29085.017545, 63.867875, 16, 0.05
1000, 31875.489950, 64.061334, 16, 0.05
1100, 32718.279626, 68.556804, 16, 0.05
1100, 23987.211765, 146.201801, 16, 0.05
1100, 27803.798194, 100.147857, 16, 0.05
1100, 25151.165041, 141.920238, 16, 0.05
1100, 29073.701350, 86.685696, 16, 0.05
1200, 30465.696349, 91.169144, 16, 0.05
1200, 30635.452441, 78.027845, 16, 0.05
1200, 24151.345450, 110.515675, 16, 0.05
1200, 29418.159262, 110.253663, 16, 0.05
1200, 26682.036587, 116.688998, 16, 0.05
1300, 29966.756439, 83.023607, 16, 0.05
1300, 23393.145591, 123.93632, 16, 0.05
1300, 23749.999807, 148.487908, 16, 0.05
1300, 31346.290417, 78.158454, 16, 0.05
1300, 29199.139151, 100.788565, 16, 0.05
1400, 24321.228147, 135.611178, 16, 0.05
1400, 25614.180010, 126.564648, 16, 0.05
1400, 26591.344662, 126.686284, 16, 0.05
1400, 28956.983191, 93.994104, 16, 0.05
1400, 32000.811438, 101.151373, 16, 0.05
1500, 32962.644552, 82.796413, 16, 0.05
1500, 32709.339338, 103.490521, 16, 0.05
1500, 27769.066467, 140.974558, 16, 0.05
1500, 22908.258696, 147.694736, 16, 0.05
1500, 29760.719470, 132.070725, 16, 0.05
1600, 29536.072915, 122.604959, 16, 0.05
1600, 24603.544572, 136.399469, 16, 0.05
1600, 30168.839761, 111.494688, 16, 0.05
1600, 24970.710979, 137.210634, 16, 0.05
1600, 28638.965143, 123.974079, 16, 0.05
1700, 28772.962705, 121.773132, 16, 0.05
1700, 22529.975530, 145.5594, 16, 0.05
1700, 31166.880074, 92.598829, 16, 0.05
1700, 24264.822527, 170.679201, 16, 0.05
1700, 22839.128605, 197.884582, 16, 0.05
1800, 29979.940302, 125.300562, 16, 0.05
1800, 29006.631220, 137.166007, 16, 0.05
1800, 29837.574983, 124.286503, 16, 0.05
1800, 28215.065124, 111.641039, 16, 0.05
1800, 25975.866752, 174.350457, 16, 0.05
1900, 26957.627021, 143.316265, 16, 0.05
1900, 22733.740476, 187.45997, 16, 0.05
1900, 27776.988217, 134.688335, 16, 0.05
1900, 29162.304436, 128.340637, 16, 0.05
1900, 28394.494364, 152.906768, 16, 0.05
2000, 24721.852338, 160.829865, 16, 0.05
2000, 28679.437381, 171.783468, 16, 0.05
2000, 31250.922683, 121.964246, 16, 0.05
2000, 32542.162952, 119.680953, 16, 0.05
2000, 25787.798350, 153.109565, 16, 0.05
2100, 24549.357570, 188.297961, 16, 0.05
2100, 22806.867191, 177.571355, 16, 0.05
2100, 24868.288838, 185.157228, 16, 0.05
2100, 28492.738628, 123.137569, 16, 0.05
2100, 24869.582356, 176.720934, 16, 0.05
2200, 30659.195013, 157.669719, 16, 0.05
2200, 26762.442096, 140.946817, 16, 0.05
2200, 24862.305837, 187.728168, 16, 0.05
2200, 29228.964099, 150.542131, 16, 0.05
2200, 24833.265421, 200.855853, 16, 0.05
2300, 26908.040472, 179.640024, 16, 0.05
2300, 25999.836586, 181.461837, 16, 0.05
2300, 30893.431585, 123.010104, 16, 0.05
2300, 27794.878577, 138.683947, 16, 0.05
2300, 28800.271248, 157.74178, 16, 0.05
2400, 25301.598021, 183.922345, 16, 0.05
2400, 26492.807090, 159.719211, 16, 0.05
2400, 28015.069227, 119.028085, 16, 0.05
2400, 22516.930311, 213.672279, 16, 0.05
2400, 23980.180592, 208.466058, 16, 0.05
2500, 25704.967869, 205.13796, 16, 0.05
2500, 23959.395533, 218.215603, 16, 0.05
2500, 23430.036051, 202.361751, 16, 0.05
2500, 22547.794436, 215.669497, 16, 0.05
2500, 22950.948814, 195.689719, 16, 0.05
2600, 24835.529932, 181.818623, 16, 0.05
2600, 22997.300443, 199.180056, 16, 0.05
2600, 27999.210467, 153.518126, 16, 0.05
2600, 26506.266153, 169.09767, 16, 0.05
2600, 25294.931247, 188.314042, 16, 0.05
2700, 20917.675930, 236.305891, 16, 0.05
2700, 23757.447090, 218.420562, 16, 0.05
2700, 26639.523691, 164.417088, 16, 0.05
2700, 22593.090361, 180.664866, 16, 0.05
2700, 22876.484860, 214.135557, 16, 0.05
2800, 23403.394179, 190.517298, 16, 0.05
2800, 21090.356188, 248.24177, 16, 0.05
2800, 21880.168574, 204.25444, 16, 0.05
2800, 21910.710590, 256.011817, 16, 0.05
2800, 24897.049146, 185.969686, 16, 0.05
2900, 21737.626853, 244.540185, 16, 0.05
2900, 19846.717765, 252.947412, 16, 0.05
2900, 23654.195773, 186.443682, 16, 0.05
2900, 26536.127741, 167.104259, 16, 0.05
2900, 29502.874703, 114.762503, 16, 0.05
3000, 20811.896776, 251.157545, 16, 0.05
3000, 24447.528158, 218.754553, 16, 0.05
3000, 20765.711352, 272.378733, 16, 0.05
3000, 21122.860108, 250.589604, 16, 0.05
3000, 18636.644369, 293.806339, 16, 0.05
100, 6345.270698, 34.588261, 16, 0.5
100, 6032.387626, 35.908445, 16, 0.5
100, 6638.719869, 31.574936, 16, 0.5
100, 6219.845041, 35.310918, 16, 0.5
100, 6427.781398, 35.836433, 16, 0.5
200, 8067.921540, 47.038938, 16, 0.5
200, 7098.795145, 48.868954, 16, 0.5
200, 9423.896600, 44.212701, 16, 0.5
200, 9035.501866, 44.788624, 16, 0.5
200, 10104.465930, 39.575177, 16, 0.5
300, 12512.257320, 43.412285, 16, 0.5
300, 11012.253633, 51.890483, 16, 0.5
300, 11314.820448, 52.218357, 16, 0.5
300, 12706.929665, 44.411169, 16, 0.5
300, 11531.533114, 49.219079, 16, 0.5
400, 12722.208641, 54.067221, 16, 0.5
400, 12658.455845, 57.814103, 16, 0.5
400, 14019.860321, 49.27039, 16, 0.5
400, 14119.171836, 52.122575, 16, 0.5
400, 14469.089490, 45.943577, 16, 0.5
500, 14764.595962, 54.305098, 16, 0.5
500, 17450.504441, 59.153456, 16, 0.5
500, 15062.812712, 63.016067, 16, 0.5
500, 17568.296687, 50.989475, 16, 0.5
500, 17436.147998, 45.086174, 16, 0.5
600, 17466.001454, 71.291904, 16, 0.5
600, 20095.560580, 47.613615, 16, 0.5
600, 16664.755608, 68.07888, 16, 0.5
600, 18511.688460, 51.151778, 16, 0.5
600, 20056.370555, 52.451703, 16, 0.5
700, 21407.577919, 52.626349, 16, 0.5
700, 19983.718226, 63.536298, 16, 0.5
700, 18110.010804, 62.041931, 16, 0.5
700, 17119.746200, 77.175406, 16, 0.5
700, 20418.695937, 58.922881, 16, 0.5
800, 20726.409457, 67.906264, 16, 0.5
800, 20699.418960, 61.506824, 16, 0.5
800, 17485.098980, 76.412837, 16, 0.5
800, 19008.781825, 68.826057, 16, 0.5
800, 19447.411563, 68.686146, 16, 0.5
900, 21684.805566, 68.032923, 16, 0.5
900, 25535.752472, 55.075303, 16, 0.5
900, 22857.073163, 62.091, 16, 0.5
900, 16318.561985, 117.607111, 16, 0.5
900, 11681.936913, 118.690873, 16, 0.5
1000, 19553.258797, 90.560247, 16, 0.5
1000, 24504.324682, 76.088351, 16, 0.5
1000, 25169.080281, 69.970353, 16, 0.5
1000, 20994.244552, 68.660843, 16, 0.5
1000, 22010.842612, 88.086208, 16, 0.5
1100, 23822.371782, 72.093143, 16, 0.5
1100, 25187.645567, 80.677953, 16, 0.5
1100, 23240.214635, 101.782638, 16, 0.5
1100, 21429.117029, 105.643768, 16, 0.5
1100, 24574.432752, 85.41665, 16, 0.5
1200, 22330.461642, 129.962261, 16, 0.5
1200, 27587.092804, 62.769539, 16, 0.5
1200, 23632.189045, 95.313132, 16, 0.5
1200, 23003.101612, 86.016207, 16, 0.5
1200, 22711.029438, 106.002469, 16, 0.5
1300, 20750.444688, 134.81366, 16, 0.5
1300, 16730.680173, 174.72133, 16, 0.5
1300, 20422.420991, 122.733059, 16, 0.5
1300, 20788.221809, 145.3721, 16, 0.5
1300, 21966.697687, 104.576456, 16, 0.5
1400, 20560.527601, 162.156863, 16, 0.5
1400, 18360.723469, 169.217424, 16, 0.5
1400, 22465.842467, 153.462778, 16, 0.5
1400, 21173.924287, 150.813828, 16, 0.5
1400, 28422.090301, 76.493557, 16, 0.5
1500, 23464.884932, 123.938602, 16, 0.5
1500, 23832.262966, 102.657395, 16, 0.5
1500, 18646.641422, 178.001306, 16, 0.5
1500, 23935.909229, 115.02583, 16, 0.5
1500, 24812.509298, 104.992008, 16, 0.5
1600, 26399.313149, 107.083246, 16, 0.5
1600, 21257.796164, 142.178568, 16, 0.5
