ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
20, 5107.653090, 5.000000, 16, 0.05
20, 5096.272037, 5.000000, 16, 0.05
20, 4976.997433, 5.000000, 16, 0.05
20, 3785.792092, 6.000000, 16, 0.05
20, 4213.032009, 5.000000, 16, 0.05
20, 4921.280673, 5.000000, 16, 0.05
40, 5926.649571, 10.000000, 16, 0.05
40, 5826.345767, 10.000000, 16, 0.05
40, 5836.459528, 10.000000, 16, 0.05
40, 5863.251104, 10.000000, 16, 0.05
40, 5844.370689, 10.000000, 16, 0.05
60, 6071.938521, 14.000000, 16, 0.05
60, 5553.231689, 16.000000, 16, 0.05
60, 5747.134427, 16.000000, 16, 0.05
60, 1714.594084, 17.000000, 16, 0.05
60, 5932.443598, 15.000000, 16, 0.05
80, 6020.151728, 21.000000, 16, 0.05
80, 6135.059575, 20.000000, 16, 0.05
80, 6151.999634, 19.000000, 16, 0.05
80, 6077.376851, 20.000000, 16, 0.05
80, 6108.635078, 19.000000, 16, 0.05
100, 6255.668124, 24.000000, 16, 0.05
100, 6005.073294, 24.000000, 16, 0.05
100, 4640.593845, 24.000000, 16, 0.05
100, 5961.869850, 25.000000, 16, 0.05
100, 6010.832300, 23.000000, 16, 0.05
120, 5976.673876, 27.000000, 16, 0.05
120, 6102.942193, 27.000000, 16, 0.05
120, 5857.832784, 29.000000, 16, 0.05
120, 5869.685366, 29.000000, 16, 0.05
120, 5740.092261, 30.000000, 16, 0.05
140, 6047.425583, 35.000000, 16, 0.05
140, 5763.678938, 34.000000, 16, 0.05
140, 5725.731448, 36.000000, 16, 0.05
140, 5984.755383, 33.000000, 16, 0.05
140, 5797.936224, 34.000000, 16, 0.05
160, 5798.286548, 40.000000, 16, 0.05
160, 5625.540916, 39.000000, 16, 0.05
160, 5855.924273, 38.000000, 16, 0.05
160, 5669.083905, 39.000000, 16, 0.05
160, 5365.755244, 45.000000, 16, 0.05
180, 6087.319310, 40.000000, 16, 0.05
180, 5839.152967, 42.000000, 16, 0.05
180, 5855.006359, 44.000000, 16, 0.05
180, 5797.548657, 43.000000, 16, 0.05
180, 5809.182363, 42.000000, 16, 0.05
200, 5893.223713, 48.000000, 16, 0.05
200, 5573.325888, 49.000000, 16, 0.05
200, 5783.039009, 48.000000, 16, 0.05
200, 5419.868024, 53.000000, 16, 0.05
200, 5592.970581, 47.000000, 16, 0.05
220, 6016.066430, 49.000000, 16, 0.05
220, 5699.817740, 51.000000, 16, 0.05
220, 5800.122970, 50.000000, 16, 0.05
220, 5803.738052, 53.000000, 16, 0.05
220, 5449.863732, 50.000000, 16, 0.05
240, 5536.046914, 61.000000, 16, 0.05
240, 5305.387413, 67.000000, 16, 0.05
240, 5415.339398, 58.000000, 16, 0.05
240, 5662.440827, 58.000000, 16, 0.05
260, 5784.659411, 58.000000, 16, 0.05
260, 5770.533049, 57.000000, 16, 0.05
260, 5547.886687, 66.000000, 16, 0.05
260, 5229.632504, 64.000000, 16, 0.05
260, 5653.165837, 62.000000, 16, 0.05
280, 5489.739011, 65.000000, 16, 0.05
280, 5179.414429, 68.000000, 16, 0.05
280, 5743.864242, 66.000000, 16, 0.05
280, 5963.708655, 63.000000, 16, 0.05
280, 5712.975768, 67.000000, 16, 0.05
300, 5674.251451, 69.000000, 16, 0.05
300, 5577.136757, 74.000000, 16, 0.05
300, 5344.924568, 72.000000, 16, 0.05
300, 5673.827788, 71.000000, 16, 0.05
300, 5485.354483, 74.000000, 16, 0.05
20, 3467.175148, 6.000000, 16, 0.5
20, 5131.250768, 5.000000, 16, 0.5
20, 4904.792485, 5.000000, 16, 0.5
20, 3950.349186, 6.000000, 16, 0.5
20, 4259.218463, 6.000000, 16, 0.5
40, 5810.460084, 10.000000, 16, 0.5
40, 5098.954349, 11.000000, 16, 0.5
40, 5769.521797, 10.000000, 16, 0.5
40, 5666.033116, 10.000000, 16, 0.5
60, 6064.757685, 15.000000, 16, 0.5
60, 5751.925493, 15.000000, 16, 0.5
60, 6031.237709, 15.000000, 16, 0.5
60, 5624.289529, 16.000000, 16, 0.5
60, 4714.515634, 16.000000, 16, 0.5
80, 6118.421948, 20.000000, 16, 0.5
80, 6106.298456, 21.000000, 16, 0.5
80, 5825.401883, 21.000000, 16, 0.5
80, 5569.920377, 22.000000, 16, 0.5
80, 5694.238458, 21.000000, 16, 0.5
100, 4944.001424, 23.000000, 16, 0.5
100, 5794.015651, 24.000000, 16, 0.5
100, 5837.204605, 26.000000, 16, 0.5
100, 5988.713077, 25.000000, 16, 0.5
100, 5685.849210, 25.000000, 16, 0.5
120, 5891.946406, 31.000000, 16, 0.5
120, 5746.910330, 30.000000, 16, 0.5
120, 5528.092270, 29.000000, 16, 0.5
120, 5700.027548, 30.000000, 16, 0.5
120, 5977.719945, 29.000000, 16, 0.5
140, 5814.781084, 34.000000, 16, 0.5
140, 5705.667512, 37.000000, 16, 0.5
140, 5525.408723, 37.000000, 16, 0.5
140, 5820.988407, 34.000000, 16, 0.5
140, 5313.646703, 39.000000, 16, 0.5
160, 4563.918852, 36.000000, 16, 0.5
160, 5808.495940, 38.000000, 16, 0.5
160, 5538.681829, 42.000000, 16, 0.5
160, 5718.548480, 40.000000, 16, 0.5
160, 6136.165030, 38.000000, 16, 0.5
180, 5763.327830, 41.000000, 16, 0.5
180, 5604.618121, 47.000000, 16, 0.5
180, 4602.637814, 43.000000, 16, 0.5
180, 5657.551919, 44.000000, 16, 0.5
200, 5935.483426, 47.000000, 16, 0.5
200, 5647.427878, 50.000000, 16, 0.5
200, 5881.877966, 47.000000, 16, 0.5
200, 5587.222087, 50.000000, 16, 0.5
200, 5397.165564, 47.000000, 16, 0.5
220, 5636.638656, 55.000000, 16, 0.5
220, 5521.290933, 53.000000, 16, 0.5
220, 5473.785020, 52.000000, 16, 0.5
220, 5499.539734, 54.000000, 16, 0.5
220, 5513.368816, 50.000000, 16, 0.5
240, 5730.238817, 60.000000, 16, 0.5
240, 5533.930722, 57.000000, 16, 0.5
240, 5319.095765, 63.000000, 16, 0.5
240, 5760.620415, 59.000000, 16, 0.5
240, 5552.347788, 61.000000, 16, 0.5
260, 5927.065991, 59.000000, 16, 0.5
260, 5528.826692, 63.000000, 16, 0.5
260, 5500.048449, 65.000000, 16, 0.5
260, 5581.868792, 63.000000, 16, 0.5
280, 5871.016681, 65.000000, 16, 0.5
280, 5504.445146, 71.000000, 16, 0.5
280, 5316.361282, 71.000000, 16, 0.5
280, 5080.595780, 63.000000, 16, 0.5
280, 5080.111169, 67.000000, 16, 0.5
