ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
5, 675.713974, 10.000000, 16, 0.05
5, 666.616332, 10.000000, 16, 0.05
5, 664.210251, 10.000000, 16, 0.05
5, 668.454223, 10.000000, 16, 0.05
5, 683.966759, 9.000000, 16, 0.05
5, 685.781441, 9.000000, 16, 0.05
5, 644.625775, 10.000000, 16, 0.05
10, 946.342310, 14.000000, 16, 0.05
10, 958.150568, 13.000000, 16, 0.05
10, 930.355518, 14.000000, 16, 0.05
10, 947.543318, 14.000000, 16, 0.05
10, 933.803653, 14.000000, 16, 0.05
15, 1047.531935, 18.000000, 16, 0.05
15, 165.612602, 77.000000, 16, 0.05
15, 1053.079234, 18.000000, 16, 0.05
15, 1039.482614, 18.000000, 16, 0.05
15, 1057.615919, 18.000000, 16, 0.05
20, 641.437844, 31.000000, 16, 0.05
20, 1097.067906, 22.000000, 16, 0.05
20, 1125.985551, 22.000000, 16, 0.05
20, 1102.774849, 22.000000, 16, 0.05
20, 550.296842, 49.000000, 16, 0.05
25, 1107.598682, 27.000000, 16, 0.05
25, 831.961535, 33.000000, 16, 0.05
25, 213.153801, 105.000000, 16, 0.05
25, 207.966056, 95.000000, 16, 0.05
25, 1138.062867, 27.000000, 16, 0.05
30, 207.317620, 129.000000, 16, 0.05
30, 1143.689341, 31.000000, 16, 0.05
30, 1140.342836, 31.000000, 16, 0.05
30, 1156.274025, 31.000000, 16, 0.05
30, 239.397496, 114.000000, 16, 0.05
35, 302.389645, 125.000000, 16, 0.05
35, 1143.282317, 36.000000, 16, 0.05
35, 375.853027, 111.000000, 16, 0.05
35, 400.470289, 109.000000, 16, 0.05
35, 493.315647, 89.000000, 16, 0.05
40, 296.701299, 137.000000, 16, 0.05
40, 212.718750, 160.000000, 16, 0.05
40, 379.363626, 125.000000, 16, 0.05
40, 224.233207, 153.000000, 16, 0.05
40, 1159.694624, 40.000000, 16, 0.05
5, 670.433055, 10.000000, 16, 0.5
5, 670.013671, 10.000000, 16, 0.5
5, 663.422987, 10.000000, 16, 0.5
5, 673.072376, 10.000000, 16, 0.5
10, 923.853677, 14.000000, 16, 0.5
10, 876.200426, 15.000000, 16, 0.5
10, 931.079619, 14.000000, 16, 0.5
10, 928.280945, 14.000000, 16, 0.5
10, 925.910949, 14.000000, 16, 0.5
15, 1009.153066, 18.000000, 16, 0.5
15, 1044.213275, 18.000000, 16, 0.5
15, 1036.822897, 18.000000, 16, 0.5
15, 1026.181966, 19.000000, 16, 0.5
15, 1033.649950, 18.000000, 16, 0.5
20, 1088.057363, 23.000000, 16, 0.5
20, 380.705223, 59.000000, 16, 0.5
20, 1089.324661, 23.000000, 16, 0.5
20, 460.643851, 53.000000, 16, 0.5
20, 347.225743, 67.000000, 16, 0.5
25, 1085.837758, 28.000000, 16, 0.5
25, 1117.111204, 27.000000, 16, 0.5
25, 1080.386593, 28.000000, 16, 0.5
25, 1037.377691, 29.000000, 16, 0.5
25, 1024.947061, 29.000000, 16, 0.5
30, 297.381516, 108.000000, 16, 0.5
30, 211.111268, 128.000000, 16, 0.5
30, 572.516267, 71.000000, 16, 0.5
30, 1112.872465, 33.000000, 16, 0.5
30, 187.013363, 130.000000, 16, 0.5
35, 626.350356, 59.000000, 16, 0.5
35, 270.138818, 111.000000, 16, 0.5
35, 390.534037, 99.000000, 16, 0.5
35, 206.808463, 160.000000, 16, 0.5
35, 512.224160, 92.000000, 16, 0.5
40, 713.676395, 57.000000, 16, 0.5
40, 1043.657188, 46.000000, 16, 0.5
40, 413.050185, 111.000000, 16, 0.5
40, 514.729786, 97.000000, 16, 0.5
40, 1095.663987, 43.000000, 16, 0.5
5, 665.732592, 10.000000, 16, 0.95
5, 667.133787, 10.000000, 16, 0.95
5, 657.664719, 10.000000, 16, 0.95
5, 642.614691, 10.000000, 16, 0.95
5, 659.078860, 10.000000, 16, 0.95
10, 899.763056, 14.000000, 16, 0.95
10, 884.216079, 15.000000, 16, 0.95
10, 888.965585, 15.000000, 16, 0.95
10, 848.132780, 15.000000, 16, 0.95
10, 890.927593, 14.000000, 16, 0.95
15, 1001.472913, 19.000000, 16, 0.95
15, 1012.398231, 19.000000, 16, 0.95
15, 1036.651595, 18.000000, 16, 0.95
15, 997.656975, 19.000000, 16, 0.95
15, 982.076768, 19.000000, 16, 0.95
20, 992.946567, 25.000000, 16, 0.95
20, 789.232276, 27.000000, 16, 0.95
20, 1075.963150, 23.000000, 16, 0.95
20, 1055.077834, 23.000000, 16, 0.95
20, 1050.099407, 24.000000, 16, 0.95
25, 470.552157, 79.000000, 16, 0.95
25, 1061.497019, 29.000000, 16, 0.95
25, 1073.264477, 28.000000, 16, 0.95
25, 1054.889766, 29.000000, 16, 0.95
25, 1008.075080, 30.000000, 16, 0.95
30, 198.283388, 146.000000, 16, 0.95
30, 1005.441893, 36.000000, 16, 0.95
30, 346.836247, 112.000000, 16, 0.95
30, 202.275317, 137.000000, 16, 0.95
30, 201.127689, 139.000000, 16, 0.95
35, 1074.886700, 39.000000, 16, 0.95
35, 954.621191, 42.000000, 16, 0.95
35, 1061.900122, 39.000000, 16, 0.95
35, 518.203118, 84.000000, 16, 0.95
35, 313.433730, 132.000000, 16, 0.95
40, 697.560474, 54.000000, 16, 0.95
40, 210.624650, 219.000000, 16, 0.95
40, 1059.043618, 45.000000, 16, 0.95
40, 539.485990, 109.000000, 16, 0.95
40, 372.442651, 143.000000, 16, 0.95
5, 680.018500, 10.000000, 128, 0.05
5, 650.935332, 10.000000, 128, 0.05
5, 686.279338, 9.000000, 128, 0.05
5, 687.379764, 9.000000, 128, 0.05
5, 690.638357, 9.000000, 128, 0.05
10, 893.233265, 14.000000, 128, 0.05
10, 954.012050, 14.000000, 128, 0.05
10, 904.802135, 14.000000, 128, 0.05
10, 960.786249, 13.000000, 128, 0.05
10, 925.729768, 14.000000, 128, 0.05
15, 1044.960267, 18.000000, 128, 0.05
15, 424.338965, 49.000000, 128, 0.05
15, 1066.263157, 18.000000, 128, 0.05
15, 276.472630, 56.000000, 128, 0.05
15, 1050.057173, 18.000000, 128, 0.05
20, 1124.164562, 22.000000, 128, 0.05
20, 1136.630402, 22.000000, 128, 0.05
