ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
5, 688.805097, 9.000000, 1024, 0.05
5, 660.217433, 10.000000, 1024, 0.05
5, 721.030898, 9.000000, 1024, 0.05
5, 689.531260, 9.000000, 1024, 0.05
5, 705.045047, 9.000000, 1024, 0.05
10, 966.696350, 14.000000, 1024, 0.05
10, 962.807938, 13.000000, 1024, 0.05
10, 956.204537, 14.000000, 1024, 0.05
10, 979.387995, 13.000000, 1024, 0.05
10, 973.343385, 14.000000, 1024, 0.05
15, 330.852447, 58.000000, 1024, 0.05
15, 1066.604732, 18.000000, 1024, 0.05
15, 1053.004579, 18.000000, 1024, 0.05
15, 1092.508655, 18.000000, 1024, 0.05
15, 1029.341041, 18.000000, 1024, 0.05
20, 1146.688115, 22.000000, 1024, 0.05
20, 1070.099157, 23.000000, 1024, 0.05
20, 1155.228054, 22.000000, 1024, 0.05
20, 1131.071203, 22.000000, 1024, 0.05
20, 1150.750348, 22.000000, 1024, 0.05
25, 1112.696729, 28.000000, 1024, 0.05
25, 829.510247, 35.000000, 1024, 0.05
25, 724.073250, 35.000000, 1024, 0.05
25, 1156.366733, 26.000000, 1024, 0.05
25, 281.077972, 95.000000, 1024, 0.05
30, 1138.065039, 32.000000, 1024, 0.05
30, 727.563623, 43.000000, 1024, 0.05
30, 551.699072, 74.000000, 1024, 0.05
30, 288.778582, 108.000000, 1024, 0.05
30, 679.888681, 51.000000, 1024, 0.05
35, 1215.022965, 34.000000, 1024, 0.05
35, 1151.145613, 36.000000, 1024, 0.05
35, 1169.205765, 36.000000, 1024, 0.05
35, 212.775617, 133.000000, 1024, 0.05
35, 1118.204317, 38.000000, 1024, 0.05
40, 710.920157, 48.000000, 1024, 0.05
40, 1105.636100, 43.000000, 1024, 0.05
40, 216.625445, 177.000000, 1024, 0.05
40, 357.201388, 126.000000, 1024, 0.05
40, 453.473315, 115.000000, 1024, 0.05
45, 271.395563, 170.000000, 1024, 0.05
45, 465.145875, 144.000000, 1024, 0.05
45, 1122.433789, 45.000000, 1024, 0.05
45, 240.866702, 202.000000, 1024, 0.05
45, 1102.240315, 48.000000, 1024, 0.05
50, 402.686641, 134.000000, 1024, 0.05
50, 488.035939, 131.000000, 1024, 0.05
50, 296.706987, 216.000000, 1024, 0.05
50, 240.818437, 202.000000, 1024, 0.05
50, 438.170968, 144.000000, 1024, 0.05
55, 211.347837, 243.000000, 1024, 0.05
55, 235.975579, 283.000000, 1024, 0.05
55, 325.901189, 208.000000, 1024, 0.05
55, 218.125279, 247.000000, 1024, 0.05
55, 276.673236, 201.000000, 1024, 0.05
60, 236.612319, 319.000000, 1024, 0.05
60, 698.814845, 92.000000, 1024, 0.05
60, 289.257029, 242.000000, 1024, 0.05
60, 225.272187, 406.000000, 1024, 0.05
60, 223.742819, 445.000000, 1024, 0.05
65, 251.420941, 247.000000, 1024, 0.05
65, 235.754909, 284.000000, 1024, 0.05
65, 1047.625762, 74.000000, 1024, 0.05
65, 239.624045, 384.000000, 1024, 0.05
70, 325.570649, 326.000000, 1024, 0.05
70, 239.200660, 396.000000, 1024, 0.05
70, 209.094254, 600.000000, 1024, 0.05
70, 215.273923, 490.000000, 1024, 0.05
70, 353.689651, 274.000000, 1024, 0.05
75, 220.353897, 598.000000, 1024, 0.05
75, 238.973884, 506.000000, 1024, 0.05
75, 1038.914726, 83.000000, 1024, 0.05
75, 321.824042, 269.000000, 1024, 0.05
75, 243.278393, 561.000000, 1024, 0.05
