,Threads,ValueSize,SubNumber,QoS,Latency
0,50,1024.0,7.0,1.0,1626.3333333333333
1,100,1024.0,7.0,1.0,1437.0
2,150,1024.0,7.0,1.0,1359.0
3,200,1024.0,7.0,1.0,1343.3333333333333
4,250,1024.0,7.0,1.0,1332.6666666666667
5,300,1024.0,7.0,1.0,1314.6666666666667
6,350,1024.0,7.0,1.0,1295.6666666666667
7,400,1024.0,7.0,1.0,1315.6666666666667
8,450,1024.0,7.0,1.0,1302.0
9,500,1024.0,7.0,1.0,1305.0
10,550,1024.0,7.0,1.0,1291.6666666666667
11,600,1024.0,7.0,1.0,1277.6666666666667
12,650,1024.0,7.0,1.0,1294.0
13,700,1024.0,7.0,1.0,1257.3333333333333
14,750,1024.0,7.0,1.0,1267.6666666666667
15,800,1024.0,7.0,1.0,1297.6666666666667
16,850,1024.0,7.0,1.0,1301.0
17,900,1024.0,7.0,1.0,1303.3333333333333
18,950,1024.0,7.0,1.0,1302.6666666666667
