,Threads,ValueSize,SubNumber,QoS,Latency
0,100,1024.0,7.0,1.0,5.333333333333333
1,150,1024.0,7.0,1.0,5.333333333333333
2,200,1024.0,7.0,1.0,4.666666666666667
3,250,1024.0,7.0,1.0,7.666666666666667
4,300,1024.0,7.0,1.0,6.666666666666667
5,350,1024.0,7.0,1.0,11.666666666666666
6,400,1024.0,7.0,1.0,14.5
7,450,1024.0,7.0,1.0,9.333333333333334
8,500,1024.0,7.0,1.0,13.0
9,550,1024.0,7.0,1.0,14.666666666666666
10,600,1024.0,7.0,1.0,16.333333333333332
11,650,1024.0,7.0,1.0,16.0
12,700,1024.0,7.0,1.0,21.0
13,750,1024.0,7.0,1.0,12.0
14,800,1024.0,7.0,1.0,21.666666666666668
15,850,1024.0,7.0,1.0,20.666666666666668
16,900,1024.0,7.0,1.0,20.333333333333332
17,950,1024.0,7.0,1.0,18.0
18,1000,1024.0,7.0,1.0,22.666666666666668
