,Threads,Throughput,Latency,ValueSize,Ratio
0,5,691.9165604999998,9.125,1024,0.049999999999999996
1,10,963.79393925,13.25,1024,0.05
2,15,1075.1094296666665,18.0,1024,0.05000000000000001
3,20,1115.360202,22.0,1024,0.05000000000000001
4,25,917.5980226666666,40.333333333333336,1024,0.05000000000000001
5,30,1091.1828836666666,33.0,1024,0.05000000000000001
6,35,984.4482643333332,41.666666666666664,1024,0.05000000000000001
7,40,722.717532,65.0,1024,0.05
8,45,707.1604573333334,96.33333333333333,1024,0.05000000000000001
9,50,553.508946,141.66666666666666,1024,0.05000000000000001
10,55,418.16235966666665,173.33333333333334,1024,0.05000000000000001
11,60,350.37278799999996,197.0,1024,0.05000000000000001
