,Threads,Throughput,Latency,Request,ReadWrite
0,5,2039.3958145000001,2.0,1024,0.05
1,10,3137.641748666667,3.0,1024,0.05000000000000001
2,15,3897.045738,4.0,1024,0.05
3,20,4630.561105,6.0,1024,0.05000000000000001
4,40,5059.197747,12.333333333333334,1024,0.05000000000000001
5,60,5625.527679,17.0,1024,0.05000000000000001
6,80,5369.319523,25.0,1024,0.05
7,100,5551.156396666666,27.0,1024,0.05000000000000001
8,120,5351.247928,36.0,1024,0.05000000000000001
9,140,5276.406028,39.666666666666664,1024,0.05000000000000001
10,160,5360.192597,43.333333333333336,1024,0.05000000000000001
11,180,5287.121778,48.333333333333336,1024,0.05000000000000001
12,200,5420.951799333333,52.333333333333336,1024,0.05000000000000001
13,220,5315.418619666667,56.333333333333336,1024,0.05000000000000001
14,240,5063.549854333333,71.66666666666667,1024,0.05000000000000001
15,260,5128.727565333334,62.0,1024,0.05000000000000001
16,280,5039.74203,82.0,1024,0.05000000000000001
17,300,5096.045528,74.33333333333333,1024,0.05000000000000001
18,400,4782.7879515,106.0,1024,0.05
19,500,5009.853011333334,144.66666666666666,1024,0.05000000000000001
20,600,4728.514400666667,170.66666666666666,1024,0.05000000000000001
21,700,4754.9835969999995,247.66666666666666,1024,0.05000000000000001
22,800,4619.0368376666665,258.6666666666667,1024,0.05000000000000001
23,900,4295.700400000001,312.0,1024,0.05000000000000001
