,Threads,ValueSize,Ratio,Throughput,Latency
0,5,1024,0.05,694.474653875,9.125
1,10,1024,0.05,964.6098265,13.25
2,15,1024,0.05,1072.4865413333332,17.666666666666668
3,20,1024,0.05,1111.5651206666669,22.0
4,25,1024,0.05,908.98962,40.333333333333336
5,30,1024,0.05,1091.1828836666666,33.0
6,35,1024,0.05,984.4482643333334,41.666666666666664
7,40,1024,0.05,722.717532,65.0
8,45,1024,0.05,707.1604573333334,96.33333333333333
9,50,1024,0.05,553.508946,141.66666666666666
10,55,1024,0.05,418.16235966666665,173.33333333333334
11,60,1024,0.05,350.37278799999996,197.0
