,Threads,ValueSize,Ratio,Throughput,Latency
0,5,1024,0.05,2039.3958145000001,2.0
1,10,1024,0.05,3137.641748666667,3.0
2,15,1024,0.05,3897.045738,4.0
3,20,1024,0.05,4630.561105,6.0
4,40,1024,0.05,5059.197747,12.333333333333334
5,60,1024,0.05,5625.527679,17.0
6,80,1024,0.05,5369.319523,25.0
7,100,1024,0.05,5551.156396666666,27.0
8,120,1024,0.05,5351.247928,36.0
9,140,1024,0.05,5276.406028,39.666666666666664
10,160,1024,0.05,5360.192597,43.333333333333336
11,180,1024,0.05,5287.121778,48.333333333333336
12,200,1024,0.05,5420.951799333333,52.333333333333336
13,220,1024,0.05,5315.418619666667,56.333333333333336
14,240,1024,0.05,5063.549854333333,71.66666666666667
15,260,1024,0.05,5128.727565333334,62.0
16,280,1024,0.05,5039.74203,82.0
17,300,1024,0.05,5096.045528,74.33333333333333
18,400,1024,0.05,4782.7879515,106.0
19,500,1024,0.05,5009.853011333334,144.66666666666666
20,600,1024,0.05,4728.514400666667,170.66666666666666
21,700,1024,0.05,4754.9835969999995,247.66666666666666
22,800,1024,0.05,4619.0368376666665,258.6666666666667
23,900,1024,0.05,4295.700400000001,312.0
