,Threads,ValueSize,Ratio,Throughput,Latency
0,10,1024,0.05,3242.1123946666667,1.7599776666666667
1,20,1024,0.05,5730.008629666667,2.1107983333333333
2,30,1024,0.05,7718.1734989999995,2.573252666666667
3,40,1024,0.05,9934.257533999998,2.718018666666667
4,50,1024,0.05,12061.015067333332,3.1921093333333332
5,60,1024,0.05,12065.81555,4.09241
6,70,1024,0.05,12939.935872,4.37821
7,80,1024,0.05,15421.430595666667,4.457883333333332
8,90,1024,0.05,15122.580516333333,5.503201999999999
9,100,1024,0.05,15983.069189125,4.901346
10,200,1024,0.05,21621.92308433333,10.577638333333333
11,300,1024,0.05,24320.278009999998,18.823666666666664
12,400,1024,0.05,25805.842889666663,28.965282
13,500,1024,0.05,26835.992977,29.765079333333333
14,600,1024,0.05,26126.940695999994,39.95567333333334
15,700,1024,0.05,28427.535332999996,36.65137733333333
16,800,1024,0.05,28356.890369666664,46.909355
17,900,1024,0.05,28882.685513333334,44.800124333333336
18,1000,1024,0.05,27497.583377333332,76.47690766666666
19,1100,1024,0.05,28692.398978,76.380846
20,1200,1024,0.05,26682.217103333332,85.05220733333334
21,1300,1024,0.05,29009.899656000005,81.02378566666667
22,1400,1024,0.05,31701.241028666667,80.34228933333334
23,1500,1024,0.05,27219.962523,104.90359833333332
24,1600,1024,0.05,28132.287294666672,98.45486833333332
25,1700,1024,0.05,26753.110607,99.36600766666668
26,1800,1024,0.05,28312.878156666662,110.43399966666668
27,1900,1024,0.05,28643.108425,93.306639
28,2000,1024,0.05,28043.050148333332,102.78357366666667
29,2100,1024,0.05,28858.177288333332,112.39062033333335
30,2200,1024,0.05,27855.243086000002,114.67913566666665
31,2300,1024,0.05,29369.791956666668,116.34872299999999
32,2400,1024,0.05,28227.176569666666,144.039392
33,2500,1024,0.05,27949.715540666668,116.60789999999999
34,2600,1024,0.05,28331.715086,108.883403
35,2700,1024,0.05,27972.28570566667,135.39300533333332
36,2800,1024,0.05,27812.026483666665,133.836487
37,2900,1024,0.05,29670.269405666666,112.04046999999998
38,3000,1024,0.05,27751.063975333334,155.55031
